# E  prob
7.02e+04  0.3441918095
7.33e+04  0.2900710561
7.67e+04  0.2993726192
8.01e+04  0.3481430933
8.38e+04  0.3536769762
8.76e+04  0.3395589324
9.15e+04  0.3395631667
9.57e+04  0.3380550776
1.00e+05  0.3307856929
1.05e+05  0.3371820137
1.09e+05  0.3544149777
1.14e+05  0.3552135027
1.19e+05  0.3300077898
1.25e+05  0.3021117945
1.30e+05  0.2986082937
1.36e+05  0.3205178835
1.43e+05  0.3451777396
1.49e+05  0.3504999277
1.56e+05  0.333111637
1.63e+05  0.3070489058
1.70e+05  0.2900478386
1.78e+05  0.2912013372
1.86e+05  0.3076497927
1.94e+05  0.3292026182
2.03e+05  0.345456991
2.12e+05  0.3507504045
2.22e+05  0.3453048443
2.32e+05  0.3334550741
2.42e+05  0.3208182019
2.53e+05  0.3119408488
2.65e+05  0.3091233768
2.77e+05  0.3123813306
2.89e+05  0.3201176847
3.03e+05  0.3300231485
3.16e+05  0.3398551374
3.31e+05  0.3479303364
3.46e+05  0.353315812
3.61e+05  0.3557894125
3.78e+05  0.3556676656
3.95e+05  0.3535890899
4.12e+05  0.350313759
4.31e+05  0.3465710262
4.51e+05  0.3429643798
4.71e+05  0.3399278638
4.92e+05  0.3377215428
5.15e+05  0.3364519881
5.38e+05  0.3361054491
5.62e+05  0.3365844405
5.88e+05  0.3377417228
6.14e+05  0.3394084389
6.42e+05  0.3414783516
6.71e+05  0.3439211773
7.02e+05  0.3463923606
7.33e+05  0.3487639017
7.67e+05  0.3509432208
8.01e+05  0.3528263232
8.38e+05  0.3544745065
8.76e+05  0.3558261185
9.15e+05  0.3568864317
9.57e+05  0.3576724947
1.00e+06  0.3581967334
1.05e+06  0.3585173201
1.09e+06  0.3586473448
1.14e+06  0.3586173641
1.19e+06  0.3584589132
1.25e+06  0.3581961307
1.30e+06  0.3578528047
1.36e+06  0.3574500656
1.43e+06  0.3570060651
1.49e+06  0.3565451697
1.56e+06  0.3560622431
1.63e+06  0.355576071
1.70e+06  0.3550948588
1.78e+06  0.3546249784
1.86e+06  0.3541803291
1.94e+06  0.3537458782
2.03e+06  0.3533333957
2.12e+06  0.3529444013
2.22e+06  0.3525872052
2.32e+06  0.352246551
2.42e+06  0.3519301796
2.53e+06  0.3516375342
2.65e+06  0.3513678047
2.77e+06  0.3511253215
2.89e+06  0.3508979302
3.03e+06  0.3506901848
3.16e+06  0.3505008622
3.31e+06  0.3503325855
3.46e+06  0.3501761142
3.61e+06  0.3500344521
3.78e+06  0.349906455
3.95e+06  0.34979103
4.12e+06  0.349689632
4.31e+06  0.349596088
4.51e+06  0.3495122076
4.71e+06  0.3494371374
4.92e+06  0.3493718137
5.15e+06  0.3493118911
5.38e+06  0.3492585885
5.62e+06  0.3492112819
5.88e+06  0.3491693985
6.14e+06  0.349133495
6.42e+06  0.3491008301
6.71e+06  0.3490721541
7.02e+06  0.3490470672
7.33e+06  0.3490252053
7.67e+06  0.3490069084
8.01e+06  0.3489904727
8.38e+06  0.348976364
8.76e+06  0.348964335
9.15e+06  0.3489546183
9.57e+06  0.348946057
1.00e+07  0.3489389708
