# E  prob
1.05e+06  0.3637262212
1.09e+06  0.3641464137
1.14e+06  0.3646236842
1.19e+06  0.3651368309
1.25e+06  0.3656760477
1.30e+06  0.3662273814
1.36e+06  0.3667802095
1.43e+06  0.367325979
1.49e+06  0.3678480976
1.56e+06  0.3683610077
1.63e+06  0.368851609
1.70e+06  0.3693173472
1.78e+06  0.3697566389
1.86e+06  0.3701590638
1.94e+06  0.3705440807
2.03e+06  0.370902054
2.12e+06  0.3712336555
2.22e+06  0.3715319467
2.32e+06  0.3718143254
2.42e+06  0.3720736913
2.53e+06  0.3723113847
2.65e+06  0.3725287819
2.77e+06  0.3727217024
2.89e+06  0.3729030449
3.03e+06  0.3730681268
3.16e+06  0.3732182139
3.31e+06  0.3733504896
3.46e+06  0.3734744645
3.61e+06  0.3735868341
3.78e+06  0.3736885973
3.95e+06  0.373780683
4.12e+06  0.3738613533
4.31e+06  0.3739368238
4.51e+06  0.3740049847
4.71e+06  0.3740665084
4.92e+06  0.3741202069
5.15e+06  0.3741704126
5.38e+06  0.3742156619
5.62e+06  0.3742564247
5.88e+06  0.3742931291
6.14e+06  0.3743250344
6.42e+06  0.3743548565
6.71e+06  0.3743816748
7.02e+06  0.3744057813
7.33e+06  0.3744274404
7.67e+06  0.3744461897
8.01e+06  0.3744637144
8.38e+06  0.3744794383
8.76e+06  0.3744935395
9.15e+06  0.3745057008
9.57e+06  0.3745170675
1.00e+07  0.3745272447
